Principle Component 1,Principle Component 2,Principle Component 3,SHUTTLECOCK POSITIION IN AIR(X) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
0.07381807983096644,0.29520961500720466,-0.0737722752851969,6.668591889,4.765206411,4.969032588
0.06331778600131974,0.30524667310877823,-0.09017866255065023,6.704260492,4.775434218,4.998313644
0.05281749217167304,0.31528373121035175,-0.10658504981610353,6.738599665,4.785280817,5.029721447
0.042317198342026324,0.3253207893119252,-0.1229914370815568,6.772815334,4.795092003,5.059097598
0.0318169045123796,0.3353578474134988,-0.13939782434701017,6.810047592,4.805768181,5.086712815
0.02131661068273289,0.34539490551507235,-0.15580421161246355,6.844675331,4.815697525,5.114789256
0.010816316853086172,0.35543196361664586,-0.17221059887791687,6.879961676,4.825815722,5.141456236
0.0003160230234394505,0.36546902171821943,-0.1886169861433702,6.912599146,4.835174366,5.165423828
-0.010184270806207265,0.375506079819793,-0.20502337340882357,6.947717292,4.845244332,5.189838732
-0.020684564635853945,0.3855431379213664,-0.2214297606742768,6.98286966,4.855324111,5.213679303
-0.03118485846550067,0.39558019602293987,-0.23783614793973012,7.015893027,4.864793409,5.233944853
-0.04168515229514739,0.40561725412451344,-0.2542425352051834,7.050087408,4.87459849,5.255925743
-0.052185446124794074,0.4156543122260869,-0.27064892247063677,7.082942277,4.884019472,5.276218747
-0.06268573995444084,0.42569137032766047,-0.28705530973608995,7.117680431,4.893980478,5.29516548
-0.0731860337840875,0.43572842842923404,-0.3034616970015433,7.149808798,4.903193139,5.312722627
-0.08368632761373426,0.44576548653080744,-0.3198680842669967,7.182962068,4.912699686,5.329284711
-0.09418662144338094,0.45580254463238096,-0.33627447153244994,7.214454397,4.921729966,5.345025077
-0.10468691527302772,0.4658396027339546,-0.3526808587979034,7.245674333,4.930682139,5.358302479
-0.11518720910267438,0.47587666083552804,-0.36908724606335674,7.280180959,4.940576755,5.373743804
-0.1256875029323211,0.4859137189371016,-0.38549363332881004,7.311985937,4.949696685,5.383955691
-0.1361877967619678,0.4959507770386753,-0.4019000205942634,7.343068992,4.958609608,5.394926854
-0.14668809059161453,0.5059878351402486,-0.4183064078597167,7.376092786,4.968079028,5.405564939
-0.15718838442126123,0.5160248932418222,-0.43471279512517,7.404542943,4.97623698,5.412110664
-0.16768867825090797,0.5260619513433957,-0.45111918239062343,7.43692808,4.985523268,5.4173576
-0.1781889720805546,0.5360990094449691,-0.4675255696560766,7.467802831,4.99437646,5.421211719
-0.18868926591020135,0.5461360675465428,-0.48393195692153007,7.497441766,5.002875288,5.426101767
-0.19918955973984803,0.5561731256481163,-0.5003383441869835,7.528876098,5.011888938,5.425368654
-0.2096898535694948,0.5662101837496899,-0.5167447314524367,7.558242923,5.02030974,5.425466871
-0.22019014739914147,0.5762472418512633,-0.53315111871789,7.587364722,5.028660281,5.425657648
-0.2306904412287881,0.5862842999528368,-0.5495575059833434,7.617796044,5.037386322,5.420519375
-0.24119073505843486,0.5963213580544103,-0.5659638932487967,7.645781791,5.045411106,5.417940268
-0.25169102888808165,0.6063584161559838,-0.58237028051425,7.677208876,5.054422678,5.407858472
-0.2621913227177283,0.6163954742575575,-0.5987766677797032,7.705208926,5.062451563,5.398862687
-0.272691616547375,0.6264325323591309,-0.6151830550451568,7.73318566,5.070473762,5.387085875
-0.28319191037702174,0.6364695904607045,-0.63158944231061,7.763690852,5.079220985,5.375957979
-0.2936922042066685,0.646506648562278,-0.6479958295760632,7.790181594,5.086817083,5.358424943
-0.30419249803631526,0.6565437066638515,-0.6644022168415167,7.821825899,5.095890942,5.34221831
-0.31469279186596194,0.6665807647654252,-0.6808086041069701,7.845809657,5.102768174,5.323801335
-0.3251930856956087,0.6766178228669986,-0.6972149913724233,7.874834376,5.111090878,5.302249349
-0.33569337952525535,0.6866548809685721,-0.7136213786378767,7.902900591,5.119138735,5.277038507
-0.3461936733549021,0.6966919390701456,-0.7300277659033297,7.929618526,5.12679998,5.251406477
-0.3566939671845488,0.7067289971717191,-0.7464341531687835,7.956430483,5.134488185,5.224732232
-0.3671942610141955,0.7167660552732926,-0.7628405404342368,7.98189978,5.141791389,5.192280345
-0.37769455484384235,0.7268031133748661,-0.7792469276996901,8.008608933,5.149450115,5.158959379
-0.38819484867348886,0.7368401714764398,-0.7956533149651432,8.035975761,5.157297426,5.125093921
-0.39869514250313565,0.7468772295780132,-0.8120597022305968,8.060404863,5.164302359,5.084585393
-0.4091954363327822,0.7569142876795868,-0.82846608949605,8.087395473,5.172041792,5.044617637
-0.419695730162429,0.7669513457811604,-0.8448724767615033,8.113998865,5.179670192,4.99991911
-0.4301960239920756,0.7769884038827338,-0.8612788640269567,8.140720657,5.187332542,4.952578901
-0.44069631782172236,0.7870254619843073,-0.8776852512924098,8.1637259,5.193929189,4.902412478
-0.4511966116513692,0.7970625200858809,-0.8940916385578633,8.187584634,5.200770571,4.84996859
-0.4616969054810157,0.8070995781874543,-0.9104980258233165,8.214663122,5.208535203,4.795744112
-0.47219719931066256,0.817136636289028,-0.92690441308877,8.236460103,5.214785386,4.736514745
-0.48269749314030924,0.8271736943906013,-0.943310800354223,8.262486488,5.222248332,4.673927452
-0.493197786969956,0.8372107524921748,-0.9597171876196765,8.285155499,5.228748567,4.606961987
-0.5036980807996028,0.8472478105937485,-0.97612357488513,8.309809665,5.235818035,4.539061363
-0.5141983746292493,0.8572848686953219,-0.9925299621505831,8.332643551,5.242365546,4.467962823
-0.5246986684588962,0.8673219267968957,-1.0089363494160364,8.356512289,5.249209797,4.392846514
-0.5351989622885431,0.877358984898469,-1.0253427366814898,8.380603772,5.256117919,4.312754742
-0.5456992561181897,0.8873960430000425,-1.0417491239469432,8.403124764,5.262575709,4.231860676
-0.5561995499478363,0.8974331011016161,-1.0581555112123964,8.424899287,5.268819453,4.144697116
-0.566699843777483,0.9074701592031895,-1.0745618984778498,8.447022068,5.275163058,4.053923161
-0.5772001376071295,0.9175072173047633,-1.0909682857433032,8.470625976,5.28193137,3.958009933
-0.5877004314367765,0.9275442754063368,-1.1073746730087564,8.493516984,5.288495261,3.864089956
-0.598200725266423,0.9375813335079104,-1.1237810602742098,8.513836072,5.294321666,3.760575445
-0.6087010190960698,0.9476183916094836,-1.1401874475396632,8.535511653,5.300537039,3.655689362
