Principle Component 1,Principle Component 2,Principle Component 3,SHUTTLECOCK POSITIION IN AIR(X) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
-1.356669704561499,0.2662537556863698,1.0563400238229619,8.505955756,1.0,3.499870309
-1.3671255246354588,0.2675627083988984,1.0380041388608396,8.539353943,1.0,3.471248749
-1.377581344709418,0.26887166111142674,1.0196682538987165,8.571276167,1.0,3.437988327
-1.3880371647833778,0.2701806138239554,1.0013323689365943,8.602693953,1.0,3.406129789
-1.3984929848573378,0.2714895665364837,0.9829964839744715,8.63362869,1.0,3.369860429
-1.4089488049312975,0.27279851924901205,0.964660599012349,8.665871474,1.0,3.332979494
-1.4194046250052572,0.2741074719615406,0.9463247140502262,8.697440707,1.0,3.294912272
-1.429860445079217,0.275416424674069,0.9279888290881034,8.724024636,1.0,3.251069601
-1.4403162651531765,0.2767253773865976,0.9096529441259813,8.755232066,1.0,3.20817377
-1.4507720852271364,0.2780343300991259,0.8913170591638585,8.783775129,1.0,3.160771758
-1.4612279053010961,0.2793432828116546,0.8729811742017362,8.812823083,1.0,3.111522615
-1.4716837253750552,0.2806522355241829,0.8546452892396134,8.840093369,1.0,3.058904711
-1.4821395454490156,0.2819611882367114,0.836309404277491,8.865446701,1.0,3.004043432
-1.4925953655229751,0.2832701409492397,0.8179735193153682,8.894078014,1.0,2.946953725
-1.5030511855969346,0.28457909366176826,0.7996376343532462,8.919205854,1.0,2.887511875
-1.5135070056708946,0.2858880463742969,0.7813017493911234,8.94467636,1.0,2.823063725
-1.523962825744854,0.2871969990868252,0.7629658644290007,8.969663553,1.0,2.756004379
-1.534418645818814,0.28850595179935384,0.7446299794668786,8.996493141,1.0,2.689069049
-1.5448744658927733,0.2898149045118821,0.7262940945047556,9.01911059,1.0,2.614577764
-1.5553302859667335,0.29112385722441075,0.7079582095426332,9.042850708,1.0,2.540293492
-1.565786106040693,0.2924328099369391,0.6896223245805102,9.063412573,1.0,2.462955883
-1.5762419261146527,0.2937417626494675,0.671286439618388,9.087269256,1.0,2.37971461
-1.5866977461886123,0.29505071536199595,0.6529505546562654,9.111646565,1.0,2.293961644
-1.5971535662625722,0.2963596680745246,0.6346146696941427,9.130065087,1.0,2.206752702
-1.6076093863365315,0.29766862078705303,0.6162787847320201,9.151216502,1.0,2.11495041
